,v1,v2,latitude,longitude,degradation_state
16875,17-002792,03-1-08853,-18.529,-105.77,
16876,17-004884,03-4-10413,-18.548,-105.808,
16877,17-000492,,-18.654,-105.87,#N/A
16878,17-001945,03-1-08841,-18.684,-105.164,
16879,17-004139,03-4-10412,-18.732,-105.78,
16880,17-001603,03-1-08854,-18.004,-106.589,
16881,17-004379,03-1-08855,-18.057,-106.845,
16882,17-001313,03-1-08848,-18.108,-106.045,
16883,17-004314,03-1-08852,-18.526,-106.042,
16884,17-002609,03-1-08849,-18.596,-106.323,
16885,17-002397,03-1-08850,-18.767,-106.363,
16886,17-001069,03-1-08851,-18.851,-106.468,
16887,17-004315,03-1-10023,-18.983,-106.851,
16888,17-001603,03-1-08854,-18.004,-106.589,
16889,17-004379,03-1-08855,-18.057,-106.845,
16890,17-001313,03-1-08848,-18.108,-106.045,
16891,17-004314,03-1-08852,-18.526,-106.042,
16892,17-002609,03-1-08849,-18.596,-106.323,
16893,17-002397,03-1-08850,-18.767,-106.363,
16894,17-001069,03-1-08851,-18.851,-106.468,
16895,17-004315,03-1-10023,-18.983,-106.851,
16896,17-001603,03-1-08854,-18.004,-106.589,
16897,17-004379,03-1-08855,-18.057,-106.845,
16898,17-001313,03-1-08848,-18.108,-106.045,
16899,17-004314,03-1-08852,-18.526,-106.042,
16900,17-002609,03-1-08849,-18.596,-106.323,
16901,17-002397,03-1-08850,-18.767,-106.363,
16902,17-001069,03-1-08851,-18.851,-106.468,
16903,17-004315,03-1-10023,-18.983,-106.851,
16904,17-001603,03-1-08854,-18.004,-106.589,
16905,17-004379,03-1-08855,-18.057,-106.845,
16906,17-001313,03-1-08848,-18.108,-106.045,
16907,17-004314,03-1-08852,-18.526,-106.042,
16908,17-002609,03-1-08849,-18.596,-106.323,
16909,17-002397,03-1-08850,-18.767,-106.363,
16910,17-001069,03-1-08851,-18.851,-106.468,
16911,17-004315,03-1-10023,-18.983,-106.851,
16912,17-002979,03-1-08856,-18.754,-107.301,
16913,17-001655,03-1-10018,-18.989,-107.702,
16914,17-002979,03-1-08856,-18.754,-107.301,
16915,17-001655,03-1-10018,-18.989,-107.702,
16916,17-002979,03-1-08856,-18.754,-107.301,
16917,17-001655,03-1-10018,-18.989,-107.702,
16918,17-002979,03-1-08856,-18.754,-107.301,
16919,17-001655,03-1-10018,-18.989,-107.702,
16920,17-005642,03-4-10229,-18.077,-108.587,
16921,17-000159,03-1-08862,-18.086,-108.074,3
16922,17-001795,03-1-08864,-18.117,-108.476,
16923,17-001366,03-1-08865,-18.155,-108.406,
16924,17-000222,03-1-08860,-18.16,-108.643,3
16925,17-002963,03-1-08859,-18.184,-108.24,
16926,17-002708,03-1-08863,-18.227,-108.55,
16927,17-001564,03-1-08861,-18.327,-108.856,
16928,17-004282,03-4-10423,-18.384,-108.296,
16929,17-004308,03-4-10426,-18.951,-108.511,
16930,17-005642,03-4-10229,-18.077,-108.587,
16931,17-000159,03-1-08862,-18.086,-108.074,3
16932,17-001795,03-1-08864,-18.117,-108.476,
16933,17-001366,03-1-08865,-18.155,-108.406,
16934,17-000222,03-1-08860,-18.16,-108.643,3
16935,17-002963,03-1-08859,-18.184,-108.24,
16936,17-002708,03-1-08863,-18.227,-108.55,
16937,17-001564,03-1-08861,-18.327,-108.856,
16938,17-004282,03-4-10423,-18.384,-108.296,
16939,17-004308,03-4-10426,-18.951,-108.511,
16940,17-005642,03-4-10229,-18.077,-108.587,
16941,17-000159,03-1-08862,-18.086,-108.074,3
16942,17-001795,03-1-08864,-18.117,-108.476,
16943,17-001366,03-1-08865,-18.155,-108.406,
16944,17-000222,03-1-08860,-18.16,-108.643,3
16945,17-002963,03-1-08859,-18.184,-108.24,
16946,17-002708,03-1-08863,-18.227,-108.55,
16947,17-001564,03-1-08861,-18.327,-108.856,
16948,17-004282,03-4-10423,-18.384,-108.296,
16949,17-004308,03-4-10426,-18.951,-108.511,
16950,17-005642,03-4-10229,-18.077,-108.587,
16951,17-000159,03-1-08862,-18.086,-108.074,3
16952,17-001795,03-1-08864,-18.117,-108.476,
16953,17-001366,03-1-08865,-18.155,-108.406,
16954,17-000222,03-1-08860,-18.16,-108.643,3
16955,17-002963,03-1-08859,-18.184,-108.24,
16956,17-002708,03-1-08863,-18.227,-108.55,
16957,17-001564,03-1-08861,-18.327,-108.856,
16958,17-004282,03-4-10423,-18.384,-108.296,
16959,17-004308,03-4-10426,-18.951,-108.511,
16960,17-000746,03-1-08867,-18.16,-109.439,3
16961,17-000369,03-1-08868,-18.519,-109.623,3
16962,17-000746,03-1-08867,-18.16,-109.439,3
16963,17-000369,03-1-08868,-18.519,-109.623,3
16964,17-000746,03-1-08867,-18.16,-109.439,3
16965,17-000369,03-1-08868,-18.519,-109.623,3
16966,17-000746,03-1-08867,-18.16,-109.439,3
16967,17-000369,03-1-08868,-18.519,-109.623,3
16968,17-004574,03-2-00436,-18.087,-111.657,
16969,17-005580,03-4-10440,-18.452,-111.022,
16970,17-001048,03-1-08874,-18.879,-111.557,
16971,17-004574,03-2-00436,-18.087,-111.657,
16972,17-005580,03-4-10440,-18.452,-111.022,
16973,17-001048,03-1-08874,-18.879,-111.557,
16974,17-004574,03-2-00436,-18.087,-111.657,
16975,17-005580,03-4-10440,-18.452,-111.022,
16976,17-001048,03-1-08874,-18.879,-111.557,
16977,17-004574,03-2-00436,-18.087,-111.657,
16978,17-005580,03-4-10440,-18.452,-111.022,
16979,17-001048,03-1-08874,-18.879,-111.557,
16980,17-002501,03-1-08876,-18.834,-112.007,
16981,17-000355,03-1-08879,-18.875,-112.921,3
16982,17-002501,03-1-08876,-18.834,-112.007,
16983,17-000355,03-1-08879,-18.875,-112.921,3
16984,17-002501,03-1-08876,-18.834,-112.007,
16985,17-000355,03-1-08879,-18.875,-112.921,3
16986,17-002501,03-1-08876,-18.834,-112.007,
16987,17-000355,03-1-08879,-18.875,-112.921,3
16988,17-005215,03-1-08888,-18.248,-114.44,
16989,17-001878,03-1-08890,-18.261,-114.852,
16990,17-000548,03-1-08889,-18.563,-114.87,3
16991,17-003932,03-4-10449,-18.93,-114.627,
16992,17-005215,03-1-08888,-18.248,-114.44,
16993,17-001878,03-1-08890,-18.261,-114.852,
16994,17-000548,03-1-08889,-18.563,-114.87,3
16995,17-003932,03-4-10449,-18.93,-114.627,
16996,17-005215,03-1-08888,-18.248,-114.44,
16997,17-001878,03-1-08890,-18.261,-114.852,
16998,17-000548,03-1-08889,-18.563,-114.87,3
16999,17-003932,03-4-10449,-18.93,-114.627,
17000,17-005215,03-1-08888,-18.248,-114.44,
17001,17-001878,03-1-08890,-18.261,-114.852,
17002,17-000548,03-1-08889,-18.563,-114.87,3
17003,17-003932,03-4-10449,-18.93,-114.627,
17004,17-001028,03-1-08892,-18.205,-115.758,
17005,17-001862,03-1-08893,-18.212,-115.796,
17006,17-003262,03-1-08891,-18.389,-115.109,
17007,17-001207,03-4-30775,-18.563,-115.535,
17008,17-001028,03-1-08892,-18.205,-115.758,
17009,17-001862,03-1-08893,-18.212,-115.796,
17010,17-003262,03-1-08891,-18.389,-115.109,
17011,17-001207,03-4-30775,-18.563,-115.535,
17012,17-001028,03-1-08892,-18.205,-115.758,
17013,17-001862,03-1-08893,-18.212,-115.796,
17014,17-003262,03-1-08891,-18.389,-115.109,
17015,17-001207,03-4-30775,-18.563,-115.535,
17016,17-001028,03-1-08892,-18.205,-115.758,
17017,17-001862,03-1-08893,-18.212,-115.796,
17018,17-003262,03-1-08891,-18.389,-115.109,
17019,17-001207,03-4-30775,-18.563,-115.535,
17020,17-004245,03-1-08897,-18.618,-118.68,
17021,17-004245,03-1-08897,-18.618,-118.68,
17022,17-004245,03-1-08897,-18.618,-118.68,
17023,17-004245,03-1-08897,-18.618,-118.68,
17024,17-001014,03-1-08899,-18.696,-120.418,
17025,17-001014,03-1-08899,-18.696,-120.418,
17026,17-001014,03-1-08899,-18.696,-120.418,
17027,17-001014,03-1-08899,-18.696,-120.418,
17028,17-004470,03-1-08901,-18.367,-123.927,
17029,17-004470,03-1-08901,-18.367,-123.927,
17030,17-004470,03-1-08901,-18.367,-123.927,
17031,17-004470,03-1-08901,-18.367,-123.927,
17032,17-003248,03-1-08902,-18.721,-124.865,
17033,17-001088,03-1-09958,-18.974,-124.446,
17034,17-003248,03-1-08902,-18.721,-124.865,
17035,17-001088,03-1-09958,-18.974,-124.446,
17036,17-003248,03-1-08902,-18.721,-124.865,
17037,17-001088,03-1-09958,-18.974,-124.446,
17038,17-003248,03-1-08902,-18.721,-124.865,
17039,17-001088,03-1-09958,-18.974,-124.446,
17040,17-002663,03-2-00434,-18.252,-125.711,
17041,17-002663,03-2-00434,-18.252,-125.711,
17042,17-002663,03-2-00434,-18.252,-125.711,
17043,17-002663,03-2-00434,-18.252,-125.711,
17044,17-003735,03-1-08903,-18.003,-126.515,
17045,17-003735,03-1-08903,-18.003,-126.515,
17046,17-003735,03-1-08903,-18.003,-126.515,
17047,17-003735,03-1-08903,-18.003,-126.515,
17048,17-000631,03-1-08905,-18.182,-128.024,4
17049,17-000631,03-1-08905,-18.182,-128.024,4
17050,17-000631,03-1-08905,-18.182,-128.024,4
17051,17-000631,03-1-08905,-18.182,-128.024,4
17052,17-004437,03-1-08911,-18.03,-129.11,
17053,17-002829,03-1-08910,-18.174,-129.157,
17054,17-002760,,-18.275,-129.625,#N/A
17055,17-003019,03-1-08907,-18.634,-129.375,
17056,17-002314,03-1-08908,-18.682,-129.584,
17057,17-005435,03-1-09947,-18.947,-129.587,
17058,17-004437,03-1-08911,-18.03,-129.11,
17059,17-002829,03-1-08910,-18.174,-129.157,
17060,17-002760,,-18.275,-129.625,#N/A
17061,17-003019,03-1-08907,-18.634,-129.375,
17062,17-002314,03-1-08908,-18.682,-129.584,
17063,17-005435,03-1-09947,-18.947,-129.587,
17064,17-004437,03-1-08911,-18.03,-129.11,
17065,17-002829,03-1-08910,-18.174,-129.157,
17066,17-002760,,-18.275,-129.625,#N/A
17067,17-003019,03-1-08907,-18.634,-129.375,
17068,17-002314,03-1-08908,-18.682,-129.584,
17069,17-005435,03-1-09947,-18.947,-129.587,
17070,17-004437,03-1-08911,-18.03,-129.11,
17071,17-002829,03-1-08910,-18.174,-129.157,
